Food Item,Calories (kcal),Proteins (g),Carbs (g),Food Type,Tags
Roti (Whole Wheat),130,4.2,24.5,Vegetarian,"Low Calories, High Carbs"
Paratha,260,5.5,36.0,Vegetarian,"High Calories, High Carbs"
Biryani (Chicken),290,11.0,34.0,Omnivores,"High Protein, High Calories"
Dosa,168,4.5,31.0,Vegetarian,High Carbs
Idli,130,3.2,28.0,Vegetarian,"Low Calories, High Carbs"
Upma,192,4.5,30.0,Vegetarian,Moderate Calories
Poha,180,3.2,28.0,Vegetarian,Low Calories
Pav Bhaji,250,5.0,35.0,Vegetarian,"High Carbs, High Calories"
Chole (Chickpeas Curry),145,8.9,22.0,Vegetarian,"High Protein, Low Calories"
Rajma (Kidney Beans),140,9.0,23.0,Vegetarian,"High Protein, Low Calories"
Sambar,90,3.5,12.0,Vegetarian,"Low Calories, Low Carbs"
Pulao (Vegetable),200,4.5,36.0,Vegetarian,"Moderate Calories, High Carbs"
Khichdi,120,4.0,22.0,Vegetarian,Low Calories
Dal Tadka,150,6.5,20.0,Vegetarian,"High Protein, Low Carbs"
Paneer (Cottage Cheese),265,18.3,1.2,Vegetarian,"High Protein, Low Carbs"
Butter Chicken,320,14.5,14.0,Omnivores,"High Protein, High Calories"
Fish Curry,180,20.0,5.0,Omnivores,"High Protein, Low Calories"
Mutton Curry,280,18.2,8.0,Omnivores,"High Protein, High Calories"
Chicken Tikka,180,19.0,4.5,Omnivores,"High Protein, Low Carbs"
Aloo Gobi,110,2.5,18.0,Vegetarian,"Low Calories, High Carbs"
Baingan Bharta,102,2.4,14.0,Vegetarian,"Low Calories, Low Carbs"
Bhindi Masala,120,3.4,15.0,Vegetarian,Low Calories
Palak Paneer,190,11.0,8.3,Vegetarian,"High Protein, Low Carbs"
Dal Makhani,250,9.1,29.0,Vegetarian,"High Calories, High Carbs"
Misal Pav,290,10.5,32.0,Vegetarian,High Calories
Dhokla,160,4.9,25.0,Vegetarian,"Low Calories, High Carbs"
Kachori,330,5.4,42.0,Vegetarian,"High Calories, High Carbs"
Vada Pav,290,4.7,40.0,Vegetarian,"High Calories, High Carbs"
Pani Puri (5 pieces),150,2.5,25.0,Vegetarian,"Low Calories, High Carbs"
Jalebi,300,1.2,70.0,Vegetarian,"High Calories, High Sugar"
Gulab Jamun (1 piece),175,2.5,25.0,Vegetarian,High Sugar
